iter	Passed	Remaining
442	1248	1570
443	1254	1570
444	1256	1566
445	1261	1567
446	1263	1563
447	1265	1558
448	1268	1556
449	1270	1552
450	1272	1548
451	1274	1545
452	1276	1541
453	1278	1537
454	1280	1533
455	1282	1529
456	1284	1526
457	1286	1522
458	1289	1519
459	1291	1515
460	1292	1511
461	1294	1507
462	1297	1504
463	1299	1500
464	1301	1497
465	1303	1493
466	1304	1489
467	1306	1485
468	1308	1481
469	1310	1477
470	1311	1473
471	1315	1471
472	1317	1467
473	1320	1464
474	1321	1460
475	1323	1456
476	1325	1452
477	1330	1453
478	1338	1455
479	1347	1459
480	1348	1455
481	1350	1451
482	1357	1452
483	1359	1449
484	1373	1458
485	1381	1460
486	1383	1457
487	1386	1454
488	1388	1450
489	1389	1446
490	1395	1446
491	1397	1442
492	1399	1438
493	1400	1434
494	1403	1431
495	1404	1427
496	1419	1436
497	1421	1433
498	1425	1430
499	1427	1427
500	1429	1423
501	1437	1425
502	1440	1423
503	1443	1420
504	1445	1417
505	1447	1413
506	1450	1410
507	1451	1406
508	1453	1402
509	1457	1399
510	1458	1396
511	1463	1394
512	1465	1390
513	1467	1387
514	1469	1383
515	1474	1382
516	1476	1379
517	1478	1375
518	1480	1371
519	1482	1368
520	1484	1364
521	1487	1362
522	1489	1358
523	1491	1354
524	1494	1351
525	1495	1348
526	1500	1346
527	1505	1345
528	1507	1342
529	1510	1339
530	1512	1335
531	1520	1337
532	1524	1335
533	1526	1331
534	1531	1331
535	1538	1331
536	1540	1328
537	1542	1324
538	1544	1320
539	1545	1316
540	1547	1313
541	1550	1310
542	1552	1307
543	1554	1303
544	1556	1299
545	1558	1295
546	1563	1294
547	1565	1291
548	1567	1287
549	1569	1283
550	1571	1280
551	1573	1276
552	1578	1275
553	1580	1272
554	1582	1269
555	1584	1265
556	1586	1261
557	1588	1258
558	1593	1257
559	1595	1253
560	1597	1250
561	1599	1246
562	1601	1242
563	1602	1239
564	1604	1235
565	1608	1233
566	1613	1231
567	1614	1228
568	1616	1224
569	1618	1220
570	1629	1224
571	1633	1222
572	1635	1219
573	1638	1215
574	1643	1214
575	1645	1211
576	1647	1207
577	1649	1204
578	1651	1200
579	1658	1200
580	1660	1197
581	1662	1193
582	1663	1190
583	1667	1187
584	1669	1184
585	1672	1181
586	1676	1179
587	1678	1175
588	1680	1172
589	1682	1169
590	1686	1166
591	1688	1163
592	1690	1160
593	1692	1156
594	1693	1153
595	1695	1149
596	1698	1146
597	1703	1144
598	1704	1141
599	1708	1138
600	1710	1135
601	1713	1133
602	1717	1130
603	1733	1136
604	1737	1134
605	1742	1133
606	1744	1129
607	1747	1126
608	1749	1123
609	1751	1119
610	1752	1115
611	1754	1112
612	1761	1111
613	1763	1108
614	1765	1105
615	1768	1102
616	1770	1098
617	1776	1098
618	1780	1095
619	1783	1092
620	1784	1089
621	1786	1085
622	1789	1082
623	1794	1081
624	1798	1078
625	1799	1075
626	1802	1072
627	1816	1076
628	1818	1072
629	1820	1068
630	1825	1067
631	1827	1064
632	1829	1060
633	1831	1057
634	1841	1058
635	1843	1054
636	1844	1051
637	1846	1047
638	1853	1047
639	1855	1043
640	1858	1041
641	1860	1037
642	1864	1035
643	1872	1034
644	1874	1031
645	1887	1034
646	1889	1030
647	1899	1031
648	1903	1029
649	1907	1027
650	1916	1027
651	1917	1023
652	1919	1019
653	1921	1016
654	1928	1015
655	1930	1012
656	1932	1008
657	1933	1004
658	1935	1001
659	1937	998
660	1941	995
661	1944	992
662	1945	989
663	1947	985
664	1949	982
665	1950	978
666	1952	974
667	1953	970
668	1960	969
669	1961	966
670	1964	963
671	1966	959
672	1967	956
673	1969	952
674	1974	950
675	1976	947
676	1978	943
677	1979	940
678	1981	936
679	1983	933
680	1984	929
681	1989	927
682	1991	924
683	1993	920
684	1995	917
685	1996	913
686	1998	910
687	1999	906
688	2005	905
689	2007	901
690	2010	899
691	2012	895
692	2014	892
693	2016	889
694	2020	886
695	2024	884
696	2026	880
697	2028	877
698	2030	874
699	2031	870
700	2037	869
701	2039	865
702	2041	862
703	2043	859
704	2047	856
705	2053	855
706	2054	851
707	2056	848
708	2057	844
709	2058	840
710	2060	837
711	2061	834
712	2067	832
713	2069	828
714	2070	825
715	2072	822
716	2075	819
717	2076	815
718	2082	814
719	2084	810
720	2086	807
721	2088	804
722	2090	800
723	2092	797
724	2098	795
725	2100	792
726	2102	789
727	2104	786
728	2106	783
729	2108	779
730	2115	778
731	2117	775
732	2119	771
733	2120	768
734	2122	765
735	2131	764
736	2133	761
737	2135	757
738	2136	754
739	2140	752
740	2143	749
741	2145	746
742	2147	742
743	2150	740
744	2152	736
745	2160	735
746	2162	732
747	2164	729
748	2166	726
749	2168	722
750	2177	721
751	2184	720
752	2196	720
753	2200	717
754	2205	715
755	2217	715
756	2230	715
757	2233	712
758	2243	712
759	2248	709
760	2250	706
761	2262	706
762	2264	703
763	2265	699
764	2274	698
765	2275	695
766	2277	691
767	2279	688
768	2280	685
769	2293	685
770	2295	681
771	2297	678
772	2306	677
773	2308	674
774	2310	670
775	2312	667
776	2314	664
777	2315	660
778	2317	657
779	2319	654
780	2321	650
781	2323	647
782	2331	646
783	2333	642
784	2335	639
785	2337	636
786	2346	635
787	2347	631
788	2349	628
789	2351	625
790	2352	621
791	2354	618
792	2362	616
793	2364	613
794	2365	610
795	2367	606
796	2378	605
797	2380	602
798	2382	599
799	2392	598
800	2397	595
801	2398	592
802	2408	590
803	2409	587
804	2411	584
805	2414	581
806	2424	579
807	2425	576
808	2428	573
809	2429	569
810	2437	567
811	2441	565
812	2444	562
813	2446	558
814	2456	557
815	2459	554
816	2461	551
817	2462	547
818	2471	546
819	2472	542
820	2474	539
821	2475	536
822	2477	532
823	2485	530
824	2490	528
825	2497	526
826	2502	523
827	2504	520
828	2505	516
829	2507	513
830	2517	512
831	2520	508
832	2521	505
833	2523	502
834	2538	501
835	2550	500
836	2554	497
837	2555	494
838	2567	492
839	2570	489
840	2572	486
841	2581	484
842	2583	481
843	2585	477
844	2587	474
845	2588	471
846	2597	469
847	2600	466
848	2601	462
849	2603	459
850	2612	457
851	2614	454
852	2616	450
853	2618	447
854	2620	444
855	2628	442
856	2630	438
857	2632	435
858	2634	432
859	2636	429
860	2644	426
861	2646	423
862	2648	420
863	2650	417
864	2652	413
865	2653	410
866	2655	407
867	2665	405
868	2667	402
869	2669	398
870	2671	395
871	2672	392
872	2680	389
873	2682	386
874	2684	383
875	2686	380
876	2688	377
877	2689	373
878	2691	370
879	2693	367
880	2694	364
881	2704	361
882	2705	358
883	2708	355
884	2710	352
885	2724	350
886	2726	347
887	2733	344
888	2737	341
889	2739	338
890	2740	335
891	2752	333
892	2755	330
893	2756	326
894	2758	323
895	2768	321
896	2770	318
897	2772	314
898	2774	311
899	2782	309
900	2788	306
901	2800	304
902	2803	301
903	2805	297
904	2807	294
905	2814	292
906	2817	288
907	2818	285
908	2820	282
909	2822	279
910	2833	276
911	2835	273
912	2837	270
913	2839	267
914	2852	264
915	2854	261
916	2862	259
917	2863	255
918	2865	252
919	2867	249
920	2868	246
921	2870	242
922	2877	240
923	2878	236
924	2880	233
925	2882	230
926	2883	227
927	2885	223
928	2886	220
929	2893	217
930	2895	214
931	2897	211
932	2899	208
933	2900	204
934	2902	201
935	2910	199
936	2912	195
937	2915	192
938	2917	189
939	2924	186
940	2925	183
941	2927	180
942	2929	177
943	2931	173
944	2932	170
945	2939	167
946	2941	164
947	2943	161
948	2945	158
949	2946	155
950	2952	152
951	2954	148
952	2955	145
953	2957	142
954	2959	139
955	2961	136
956	2962	133
957	2969	130
958	2971	127
959	2973	123
960	2974	120
961	2976	117
962	2977	114
963	2984	111
964	2985	108
965	2987	105
966	2989	102
967	2990	98
968	2992	95
969	2997	92
970	2999	89
971	3003	86
972	3076	85
973	3105	82
974	3108	79
975	3139	77
976	3205	75
977	3207	72
978	3211	68
979	3218	65
980	3256	63
981	3271	59
982	3274	56
983	3282	53
984	3284	50
985	3297	46
986	3299	43
987	3306	40
988	3313	36
989	3314	33
990	3331	30
991	3342	26
992	3344	23
993	3346	20
994	3350	16
995	3355	13
996	3357	10
997	3359	6
998	3362	3
999	3378	0
